fingerprint_id,endpoint_or_report,call_path,model_collection,operation,filter_fields,sort_fields,projection,limit,lean,transaction_session,execution_mode,expected_frequency_per_request,current_index_evidence,index_candidate,correctness_risk,source_file_lines,notes
Q-BULK-001,POST /api/new/delivery-today/adjustments/bulk-commit,route -> DeliveryAdjustmentBulkCommitService.commitManyAdjustments -> commitOneAdjustment.findOrder,SalesOrder / salesOrders,findOne,"deleted,isDeleted,status + $or(id,code,orderCode,salesOrderCode,documentCode,invoiceCode,deliveryCloseout.*)",,Không khai báo; tải toàn document,1,Có,Có; session riêng cho từng đơn,Tuần tự theo vòng for,N (1 lần/đơn),"Managed indexes có id,code,orderCode,salesOrderId,salesOrderCode; chưa có documentCode/invoiceCode/embedded closeout alias trong cùng canonical lookup","Không mở rộng thêm hàng loạt alias index; thêm canonicalOrderKey duy nhất + {canonicalOrderKey:1,status:1}",Cao: legacy identity alias; canonicalization sai có thể chọn nhầm hoặc bỏ sót đơn,src/services/delivery/DeliveryAdjustmentCommitService.js:70-108; src/services/mongoIndexService.js:36-56,Wide $or làm query planner phải xét nhiều nhánh; tải full document trong hot command.
Q-BULK-002,POST /api/new/delivery-today/adjustments/bulk-commit,commitOneAdjustment -> latestVersionForOrder,DeliveryCloseoutVersion / deliveryCloseoutVersions,find,"status + $or(originalCloseoutId,originalCloseoutCode,salesOrderId,salesOrderCode,orderId,orderCode,id,code,closeoutCode)","closeoutVersion:-1,sourceVersion:-1,updatedAt:-1,createdAt:-1",Không khai báo,Không có; lấy toàn bộ rồi chọn phần tử [0],Có,Có,Tuần tự sau SalesOrder.findOne,"N (1 lần/đơn), có thể lặp trong correction service","Không có entry trong managed index registry; script rời chỉ có originalCloseoutId+closeoutVersion, correctionId, date+staff, customer+salesOrderCode","{canonicalOrderKey:1,status:1,closeoutVersion:-1,sourceVersion:-1,updatedAt:-1} và .limit(1)",Cao: latest-version semantics và legacy aliases phải giữ nguyên,src/services/delivery/DeliveryAdjustmentCommitService.js:110-136; scripts/create-delivery-closeout-correction-indexes.js:20-24,Đọc dư rõ ràng; thiếu limit(1).
Q-BULK-003,POST /api/new/delivery-today/adjustments/bulk-commit,commitOneAdjustment -> preflight reconcile -> canonical AR balance reader,ArLedger / arLedgers,find/inspect active canonical debt ledgers,"canonical order identity aliases,customerCode,accountingConfirmed/accountingStatus,active,reversed,category/type/status",Tùy canonical reader,Ledger fields cần cho policy,Tối đa 2000 theo reader,Có/reader-level,Có,Preflight; lặp safety và after-balance khi post,Ít nhất 2N; nhánh post có thể 3N,Có nhiều index riêng orderId/orderCode/salesOrderId/salesOrderCode và canonical source/customer lookup; chưa xác minh explain trên DB thật,"{canonicalOrderKey:1,accountingConfirmed:1,active:1,reversed:1,category:1,createdAt:1}",P0: tuyệt đối không làm thay đổi canonical ledger eligibility hoặc Debt Zero Tolerance,"src/services/accounting/OrderPaymentDebtReconcileService.js:207-241,462-470,591-661; src/services/mongoIndexService.js:141-212","Các safety re-read là chủ ý correctness; cần batch prefetch/cached context, không được xóa guard."
Q-BULK-004,POST /api/new/delivery-today/adjustments/bulk-commit,reconcile -> findActiveDebtAdjustmentByKey,ArLedger / arLedgers,findOne,idempotencyKey + active/status/category,,Không rõ từ facade,1,Có/reader-level,Có,Preflight và ngay trước post,1-2N,Managed `idx_arledger_idempotencyKey` là non-unique; unique guard chỉ được tạo bằng script riêng sau audit sạch,"Unique partial index idempotencyKey sau data audit, giữ contract category/source",P0: duplicate ledger nếu production chưa có unique guard,"src/services/accounting/OrderPaymentDebtReconcileService.js:259-271,462-470,632-645; src/services/mongoIndexService.js:144-147",Trạng thái index thật trên Mongo chưa được cung cấp.
Q-BULK-005,POST /api/new/delivery-today/adjustments/bulk-commit,commitOneAdjustment -> DeliveryCloseoutCorrectionService.createCorrection,ReturnOrder / returnOrders,find,Nhiều alias salesOrder/order/source + active return status,Tùy service,Return items/amount/status,Không rõ; batch theo một đơn,Có,Có,Trong transaction từng đơn,N,Managed indexes bao phủ từng alias + status/returnStatus,CanonicalOrderKey + returnStatus; giữ các legacy index đến khi migration hoàn tất,"Cao: returnOrders là SSoT, không được bỏ/ghép sai version",src/services/delivery/deliveryCloseoutCorrection.service.js; src/services/mongoIndexService.js:79-103,Index coverage tốt hơn các collection khác nhưng `$or` alias vẫn tạo planner overhead.
Q-BULK-006,POST /api/new/delivery-today/adjustments/bulk-commit,createCorrection/reconcile -> allocation lookup/upsert,OrderPaymentAllocation / orderPaymentAllocations,findOne/findOneAndUpdate hoặc upsert,"orderId/orderCode/sourceId/sourceCode,idempotencyKey,sourceVersion,status",sourceVersion/postedAt/createdAt desc tùy reader,Payment allocation fields,1 hoặc candidate set,Đọc có,Có,Trong transaction từng đơn,1-3N tùy branch,"Có unique idempotency và unique orderCode+source tuple; chỉ có index đơn orderId/orderCode, chưa bao phủ latest-version sort","{canonicalOrderKey:1,status:1,sourceVersion:-1,postedAt:-1}",P0: current allocation/version match; không được fallback sai giá trị 0,src/services/mongoIndexService.js:125-134; src/services/delivery/deliveryCloseoutCorrection.service.js,Nên prefetch allocation candidates cho toàn batch.
Q-BULK-007,POST /api/new/delivery-today/adjustments/bulk-commit,reconcile -> arPostingService.postArLedgerEntry,ArLedger / arLedgers,insert/create,N/A,,,,Không,Có,Chỉ khi có delta,0..N,idempotency index managed non-unique; các unique script tách rời,Unique partial idempotency guard đã kiểm chứng dữ liệu,P0: duplicate ledger tuyệt đối 0,src/services/accounting/OrderPaymentDebtReconcileService.js:648-661,Không tối ưu bằng cách bỏ write/idempotency.
Q-ORD-001,GET /api/new/delivery-today/orders,listOrders -> loadCanonicalSalesOrders -> canonicalReader.listSalesOrders,SalesOrder / salesOrders,find,deleted/isDeleted/status + date OR + staff/customer/order search aliases,"deliveryDate:-1,createdAt:-1",sales-order-delivery-today-hot-path-v1,"limit hoặc max(limit*5,500), cap 2000",Có,Không,Query đầu tiên,1,Có deliveryDate+deliveryStaff+status và closeout scope; reader còn dùng deliveryDateKey/string/regex nên không được bao phủ hoàn chỉnh,"{deliveryDateKey:1,deliveryStaffCode:1,salesStaffCode:1,createdAt:-1}; canonical normalized date/staff fields",Cao: legacy date formats và staff aliases,"src/services/delivery/deliveryTodayCanonicalOrderReader.js:90-155,500-554; src/services/mongoIndexService.js:36-56",Đọc dư tối đa 5× rồi lọc JavaScript; pagination không hoàn toàn DB-native.
Q-ORD-002,GET /api/new/delivery-today/orders,canonicalReader -> loadMasterOrderMetadata,MasterOrder / masterOrders,find,"$or(childOrderIds,children.id,children.code và các alias child code/id)",,master-order-delivery-metadata-v1,"max(1000, childKeys*2)",Có,Không,Sau SalesOrder query,0-1,"Có childOrderIds,children.id,children.code; không thấy mọi alias array được index",Canonical childOrderKeys multikey hoặc riêng mapping collection childOrderKey -> master metadata,Trung bình-cao: masterOrders chỉ metadata nhưng mapping sai ảnh hưởng scope/display,src/services/delivery/deliveryTodayCanonicalOrderReader.js:354-382; src/services/mongoIndexService.js:57-67,Limit tối thiểu 1000 có thể đọc dư lớn.
Q-ORD-003,GET /api/new/delivery-today/orders,listOrders -> loadReturnsForOrders,ReturnOrder / returnOrders,find,$or 6 identity fields + valid status,,return-order-delivery-today-hot-path-v1,Không khai báo,Có,Không,Song song với versions và allocations,1,Managed indexes tốt cho từng alias + status/returnStatus,canonicalOrderKey + returnStatus,Cao: returnOrders SSoT,src/services/v2/deliveryTodayNew.service.js:470-497; src/services/mongoIndexService.js:79-103,"Batch join, không N+1."
